"Reference","Value","Qty"
"BZ1","Buzzer","1"
"C1","1uF","1"
"C2","0.1uF","1"
"C3","100nF","1"
"C4","100nF","1"
"C5","10nF","1"
"C6","100nF","1"
"C7","100nF","1"
"C8","100nF","1"
"C9","10uF","1"
"C10","100nF","1"
"D1","LED EXT","1"
"D2","LED BOARD","1"
"D3","LED","1"
"D4","LED","1"
"D5","LED","1"
"D6","LED","1"
"D7","LED","1"
"J1","H_5V","1"
"J2","S_5V","1"
"J3","H_3V3_2","1"
"J4","S_3V3_2","1"
"J5","H_GND","1"
"J6","S_GND","1"
"J7","Input Source","1"
"J8","H_IO","1"
"J9","S_IO","1"
"J10","H_KEYPAD","1"
"J11","S_KEYPAD","1"
"J12","BYPASS SRC 5V","1"
"J13","BYPASS SRC 3V3","1"
"J14","H_INA1","1"
"J15","H_INB1","1"
"J16","H_SERVO","1"
"J17","H_IO34","1"
"J18","H_I2C","1"
"J19","S_I2C","1"
"J20","H_IO35","1"
"J21","H_INA2","1"
"J22","H_Src Board","1"
"J23","H_INB2","1"
"J24","H_IO36","1"
"J25","H_SPI","1"
"J26","S_SPI","1"
"J27","H_IO39","1"
"J28","TX_RX","1"
"J29","DTH11_V1","1"
"J30","DTH11_V2","1"
"J31","H_DTH11","1"
"J32","H_BUZZER","1"
"J33","H_IO33_OUT","1"
"J34","H_IO33","1"
"J35","MOTOR","1"
"J36","H_IO15","1"
"J37","H_IO15_OUT","1"
"J38","H_IO32","1"
"J39","H_IO32_OUT","1"
"J40","H_IO02","1"
"J41","H_IO02_OUT","1"
"J42","H_IO04","1"
"J43","H_IO04_OUT","1"
"M1","Servo","1"
"R1","1k","1"
"R2","1k","1"
"R3","1k","1"
"R4","1k","1"
"R5","470","1"
"R6","470","1"
"R7","LDR_1","1"
"R8","470","1"
"R9","10k","1"
"R10","470","1"
"R11","470","1"
"RV1","POT_1","1"
"RV2","POT_2","1"
"SW1","SW_DIP_KEYPAD_1","1"
"SW2","SW_DIP_KEYPAD_2","1"
"SW3","ENABLE","1"
"SW4","BOOT","1"
"SW5","INPUT_D1","1"
"SW6","SW_DIP_INPUTS","1"
"SW7","INPUT_D2","1"
"SW8","Selector Input 1","1"
"SW9","Selector Input 2","1"
"U1","LM7805_TO220","1"
"U2","AMS1117","1"
"U3","ESP32-DevKitC","1"
"U4","AMS1117","1"
"U5","MX1508","1"
"U6","LM35-LP","1"
